NO.	Time	Interval	Indoor Temperature(°C)	Indoor Humidity(%)	Outdoor Temperature(°C)	Outdoor Humidity(%)	Relative Pressure(mmHg)	Absolute Pressure(mmHg)	Wind Speed(m/s)	Gust(m/s)	Wind Direction	DewPoint(°C)	WindChill(°C)	Hour Rainfall(mm)	24 Hour Rainfall(mm)	Week Rainfall(mm)	Month Rainfall(mm)	Total Rainfall(mm)
 40	 2017-07-22 04:10:17	 120	 22.9	 42	 15.4	 55	 769.4	 764.0	 0.3	 0.7	 E	 6.4	 15.4	 0.00	 0.30	 2.70	 2.70	 2.70
 41	 2017-07-22 06:11:17	 121	 22.2	 42	 15.2	 53	 769.5	 764.2	 1.0	 1.7	 N	 5.7	 15.2	 0.00	 0.30	 2.70	 2.70	 2.70
 42	 2017-07-22 08:11:17	 120	 21.8	 42	 15.0	 46	 769.7	 764.3	 0.7	 1.4	 E	 3.5	 15.0	 0.00	 0.30	 2.70	 2.70	 2.70
 43	 2017-07-22 10:11:17	 120	 21.5	 42	 15.7	 42	 770.3	 764.9	 0.0	 0.3	 SE	 2.8	 15.7	 0.00	 0.30	 2.70	 2.70	 2.70
 44	 2017-07-22 12:11:17	 120	 21.7	 42	 19.9	 27	 770.3	 764.9	 0.0	 0.3	 SE	 0.4	 19.9	 0.00	 0.30	 2.70	 2.70	 2.70
 45	 2017-07-22 14:11:17	 120	 22.4	 42	 21.9	 22	 770.1	 764.8	 0.3	 0.7	 NW	 -0.8	 21.9	 0.00	 0.30	 2.70	 2.70	 2.70
 46	 2017-07-22 16:11:17	 120	 24.1	 43	 21.0	 22	 769.9	 764.6	 2.0	 3.4	 NW	 -1.5	 20.4	 0.00	 0.30	 2.70	 2.70	 2.70
 47	 2017-07-22 18:11:17	 120	 25.4	 42	 20.9	 20	 769.6	 764.3	 3.1	 4.1	 SW	 -2.9	 19.2	 0.00	 0.30	 2.70	 2.70	 2.70
 48	 2017-07-22 20:11:17	 120	 28.0	 42	 21.2	 19	 769.1	 763.7	 3.4	 4.8	 W	 -3.3	 19.3	 0.00	 0.30	 2.70	 2.70	 2.70
 49	 2017-07-22 22:11:17	 120	 29.9	 39	 20.9	 20	 768.6	 763.3	 1.7	 3.4	 W	 -2.9	 20.9	 0.00	 0.30	 2.70	 2.70	 2.70
 50	 2017-07-23 00:11:17	 120	 29.6	 40	 19.7	 26	 768.8	 763.4	 0.0	 0.3	 NW	 -0.3	 19.7	 0.00	 0.00	 0.00	 2.70	 2.70
 51	 2017-07-23 02:11:17	 120	 27.2	 39	 15.1	 40	 768.9	 763.6	 0.7	 1.0	 E	 1.6	 15.1	 0.00	 0.00	 0.00	 2.70	 2.70
 52	 2017-07-23 04:11:17	 120	 25.8	 42	 13.3	 53	 769.0	 763.7	 0.7	 1.4	 NE	 3.9	 13.3	 0.00	 0.00	 0.00	 2.70	 2.70
 53	 2017-07-23 06:11:17	 120	 24.5	 42	 13.4	 54	 768.5	 763.2	 0.3	 1.0	 E	 4.3	 13.4	 0.00	 0.00	 0.00	 2.70	 2.70
 54	 2017-07-23 08:11:17	 120	 23.5	 43	 13.0	 50	 768.0	 762.7	 0.3	 0.7	 E	 2.8	 13.0	 0.00	 0.00	 0.00	 2.70	 2.70
 55	 2017-07-23 10:11:17	 120	 22.9	 42	 16.4	 32	 767.9	 762.6	 1.7	 2.0	 E	 -0.3	 16.4	 0.00	 0.00	 0.00	 2.70	 2.70
 56	 2017-07-23 12:11:17	 120	 23.0	 44	 21.6	 15	 768.0	 762.7	 0.7	 1.4	 ENE	 -6.1	 21.6	 0.00	 0.00	 0.00	 2.70	 2.70
 57	 2017-07-23 14:11:17	 120	 24.3	 45	 24.3	 15	 767.1	 761.8	 2.0	 3.7	 S	 -4.0	 23.9	 0.00	 0.00	 0.00	 2.70	 2.70
 58	 2017-07-23 16:11:17	 120	 25.8	 44	 25.8	 15	 766.1	 760.7	 3.1	 4.8	 E	 -2.8	 24.8	 0.00	 0.00	 0.00	 2.70	 2.70
 59	 2017-07-23 18:11:17	 120	 27.1	 42	 25.8	 15	 765.5	 760.1	 2.4	 3.7	 ENE	 -2.8	 25.2	 0.00	 0.00	 0.00	 2.70	 2.70
 60	 2017-07-23 20:11:17	 120	 30.4	 40	 26.5	 14	 764.7	 759.4	 1.4	 2.0	 NW	 -3.1	 26.5	 0.00	 0.00	 0.00	 2.70	 2.70
 61	 2017-07-23 22:11:17	 120	 31.7	 38	 25.1	 14	 764.4	 759.1	 2.7	 4.4	 NE	 -4.2	 24.2	 0.00	 0.00	 0.00	 2.70	 2.70
 62	 2017-07-24 00:11:17	 120	 31.0	 38	 22.7	 17	 764.3	 759.0	 1.4	 4.1	 E	 -3.6	 22.7	 0.00	 0.00	 0.00	 2.70	 2.70
 63	 2017-07-24 02:11:17	 120	 29.2	 41	 20.5	 22	 764.6	 759.2	 1.0	 2.0	 N	 -1.9	 20.5	 0.00	 0.00	 0.00	 2.70	 2.70
 64	 2017-07-24 04:11:17	 120	 27.7	 40	 18.8	 33	 765.1	 759.8	 0.7	 1.4	 S	 2.2	 18.8	 0.00	 0.00	 0.00	 2.70	 2.70
 65	 2017-07-24 06:11:17	 120	 26.6	 41	 16.6	 41	 764.9	 759.5	 1.0	 1.7	 NE	 3.3	 16.6	 0.00	 0.00	 0.00	 2.70	 2.70
 66	 2017-07-24 08:11:17	 120	 25.7	 42	 16.9	 32	 765.0	 759.7	 1.0	 1.7	 E	 0.1	 16.9	 0.00	 0.00	 0.00	 2.70	 2.70
 67	 2017-07-24 10:11:17	 120	 25.1	 42	 16.9	 32	 765.2	 759.9	 1.4	 1.7	 ESE	 0.1	 16.9	 0.00	 0.00	 0.00	 2.70	 2.70
 68	 2017-07-24 12:11:17	 120	 25.0	 42	 18.1	 29	 765.3	 760.0	 2.0	 3.1	 ESE	 -0.2	 17.4	 0.00	 0.00	 0.00	 2.70	 2.70
 69	 2017-07-24 14:11:17	 120	 25.2	 42	 18.4	 25	 765.8	 760.5	 1.4	 2.0	 E	 -2.0	 18.4	 0.00	 0.00	 0.00	 2.70	 2.70
 70	 2017-07-24 16:11:17	 120	 25.5	 41	 18.9	 23	 765.8	 760.4	 1.0	 1.7	 NE	 -2.7	 18.9	 0.00	 0.00	 0.00	 2.70	 2.70
 71	 2017-07-24 18:11:17	 120	 25.8	 41	 20.2	 19	 765.4	 760.1	 1.0	 1.4	 SW	 -4.1	 20.2	 0.00	 0.00	 0.00	 2.70	 2.70
 72	 2017-07-24 20:11:17	 120	 26.2	 40	 21.0	 17	 765.1	 759.8	 2.0	 3.4	 NE	 -5.0	 20.4	 0.00	 0.00	 0.00	 2.70	 2.70
 73	 2017-07-24 22:11:17	 120	 26.5	 40	 22.1	 12	 764.6	 759.3	 1.7	 2.4	 E	 -8.6	 22.1	 0.00	 0.00	 0.00	 2.70	 2.70
 74	 2017-07-25 00:11:17	 120	 26.0	 40	 19.3	 17	 765.3	 760.0	 0.0	 0.3	 SE	 -6.3	 19.3	 0.00	 0.00	 0.00	 2.70	 2.70
 75	 2017-07-25 02:11:17	 120	 25.1	 41	 16.3	 23	 765.2	 759.8	 0.0	 0.0	 SW	 -4.9	 16.3	 0.00	 0.00	 0.00	 2.70	 2.70
 76	 2017-07-25 04:11:17	 120	 24.2	 42	 14.9	 31	 765.2	 759.8	 0.7	 1.0	 NE	 -2.1	 14.9	 0.00	 0.00	 0.00	 2.70	 2.70
 77	 2017-07-25 06:11:17	 120	 23.2	 43	 14.5	 32	 765.2	 759.9	 1.0	 1.7	 NE	 -2.0	 14.5	 0.00	 0.00	 0.00	 2.70	 2.70
 78	 2017-07-25 08:11:17	 120	 22.2	 41	 13.5	 35	 764.9	 759.5	 1.0	 1.7	 NE	 -1.6	 13.5	 0.00	 0.00	 0.00	 2.70	 2.70
 79	 2017-07-25 10:11:17	 120	 22.1	 41	 15.9	 31	 764.9	 759.5	 1.0	 1.4	 SSE	 -1.2	 15.9	 0.00	 0.00	 0.00	 2.70	 2.70
 80	 2017-07-25 12:11:17	 120	 22.2	 42	 21.6	 20	 764.6	 759.2	 1.7	 2.0	 NW	 -2.3	 21.6	 0.00	 0.00	 0.00	 2.70	 2.70
 81	 2017-07-25 14:11:17	 120	 23.4	 43	 23.0	 20	 763.9	 758.6	 1.4	 1.7	 N	 -1.1	 23.0	 0.00	 0.00	 0.00	 2.70	 2.70
 82	 2017-07-25 16:11:17	 120	 25.0	 41	 24.7	 14	 763.4	 758.1	 1.4	 2.4	 N	 -4.6	 24.7	 0.00	 0.00	 0.00	 2.70	 2.70
 83	 2017-07-25 18:11:17	 120	 26.0	 41	 24.3	 15	 762.6	 757.3	 2.4	 4.8	 N	 -4.0	 23.5	 0.00	 0.00	 0.00	 2.70	 2.70
 84	 2017-07-25 20:11:17	 120	 27.5	 40	 24.2	 20	 762.6	 757.3	 1.0	 1.4	 NE	 -0.1	 24.2	 0.00	 0.00	 0.00	 2.70	 2.70
 85	 2017-07-25 22:11:17	 120	 30.0	 38	 23.1	 19	 762.1	 756.8	 2.4	 3.4	 E	 -1.8	 22.2	 0.00	 0.00	 0.00	 2.70	 2.70
 86	 2017-07-26 00:11:17	 120	 29.0	 39	 20.9	 20	 762.3	 757.0	 0.0	 0.7	 E	 -2.9	 20.9	 0.00	 0.00	 0.00	 2.70	 2.70
 87	 2017-07-26 02:11:17	 120	 27.1	 39	 16.8	 30	 762.5	 757.1	 0.7	 1.0	 SE	 -0.9	 16.8	 0.00	 0.00	 0.00	 2.70	 2.70
 88	 2017-07-26 04:11:17	 120	 26.0	 40	 16.6	 32	 762.2	 756.9	 0.7	 1.4	 N	 -0.1	 16.6	 0.00	 0.00	 0.00	 2.70	 2.70
 89	 2017-07-26 06:11:17	 120	 25.0	 41	 16.2	 35	 762.2	 756.8	 0.3	 0.7	 N	 0.7	 16.2	 0.00	 0.00	 0.00	 2.70	 2.70
 90	 2017-07-26 08:11:17	 120	 24.2	 42	 16.1	 36	 762.2	 756.8	 0.3	 1.0	 NE	 1.0	 16.1	 0.00	 0.00	 0.00	 2.70	 2.70
 91	 2017-07-26 10:11:17	 120	 23.7	 43	 16.7	 33	 761.7	 756.4	 1.0	 2.0	 NE	 0.4	 16.7	 0.00	 0.00	 0.00	 2.70	 2.70
 92	 2017-07-26 12:11:17	 120	 23.7	 43	 18.2	 29	 761.2	 755.9	 0.3	 0.7	 NE	 -0.1	 18.2	 0.00	 0.00	 0.00	 2.70	 2.70
 93	 2017-07-26 14:11:17	 120	 24.2	 42	 19.6	 24	 760.8	 755.5	 1.7	 2.4	 NW	 -1.5	 19.6	 0.00	 0.00	 0.00	 2.70	 2.70
 94	 2017-07-26 16:11:17	 120	 25.0	 41	 21.4	 20	 760.1	 754.8	 1.4	 3.1	 NNE	 -2.5	 21.4	 0.00	 0.00	 0.00	 2.70	 2.70
 95	 2017-07-26 18:11:17	 120	 25.4	 41	 21.1	 20	 759.8	 754.4	 1.0	 2.0	 NE	 -2.7	 21.1	 0.00	 0.00	 0.00	 2.70	 2.70
 96	 2017-07-26 20:11:17	 120	 25.9	 41	 22.9	 18	 758.7	 753.4	 1.0	 1.4	 NE	 -2.7	 22.9	 0.00	 0.00	 0.00	 2.70	 2.70
 97	 2017-07-26 22:11:17	 120	 26.7	 40	 22.2	 19	 758.6	 753.2	 0.7	 0.7	 NE	 -2.5	 22.2	 0.00	 0.00	 0.00	 2.70	 2.70
 98	 2017-07-27 00:11:17	 120	 27.5	 39	 20.2	 25	 758.3	 753.0	 1.0	 2.4	 NE	 -0.4	 20.2	 0.00	 0.00	 0.00	 2.70	 2.70
 99	 2017-07-27 02:11:17	 120	 25.9	 41	 15.6	 40	 758.3	 753.0	 0.7	 1.4	 SE	 2.1	 15.6	 0.00	 0.00	 0.00	 2.70	 2.70
 100	 2017-07-27 04:11:17	 120	 24.6	 42	 14.4	 41	 758.0	 752.6	 0.0	 0.3	 E	 1.3	 14.4	 0.00	 0.00	 0.00	 2.70	 2.70
 101	 2017-07-27 06:11:17	 120	 23.5	 43	 15.2	 39	 757.5	 752.2	 0.7	 1.0	 SE	 1.4	 15.2	 0.00	 0.00	 0.00	 2.70	 2.70
 102	 2017-07-27 08:11:17	 120	 22.8	 42	 16.0	 39	 756.8	 751.5	 0.7	 1.4	 E	 2.1	 16.0	 0.00	 0.00	 0.00	 2.70	 2.70
 103	 2017-07-27 10:11:17	 120	 22.5	 42	 16.8	 40	 756.8	 751.5	 1.0	 1.7	 SE	 3.1	 16.8	 0.00	 0.00	 0.00	 2.70	 2.70
 104	 2017-07-27 12:11:17	 120	 22.6	 42	 19.1	 31	 756.6	 751.3	 1.0	 1.4	 S	 1.6	 19.1	 0.00	 0.00	 0.00	 2.70	 2.70
 105	 2017-07-27 14:11:17	 120	 23.4	 43	 20.1	 23	 756.0	 750.7	 1.0	 1.7	 NE	 -1.7	 20.1	 0.00	 0.00	 0.00	 2.70	 2.70
 106	 2017-07-27 16:11:17	 120	 24.0	 42	 19.7	 27	 756.2	 750.9	 3.1	 4.1	 SW	 0.2	 17.8	 0.00	 0.00	 0.00	 2.70	 2.70
 107	 2017-07-27 18:11:17	 120	 24.4	 42	 20.1	 22	 755.8	 750.5	 1.7	 2.7	 S	 -2.3	 20.1	 0.00	 0.00	 0.00	 2.70	 2.70
 108	 2017-07-27 20:11:17	 120	 24.4	 42	 19.3	 29	 755.6	 750.3	 1.0	 1.4	 SE	 0.8	 19.3	 0.00	 0.00	 0.00	 2.70	 2.70
 109	 2017-07-27 22:11:17	 120	 24.0	 42	 17.5	 40	 755.6	 750.2	 1.7	 2.7	 SSW	 3.8	 17.5	 0.00	 0.00	 0.00	 2.70	 2.70
 110	 2017-07-28 00:11:17	 120	 23.3	 43	 15.6	 51	 755.4	 750.1	 1.0	 1.4	 E	 5.5	 15.6	 0.30	 0.30	 0.30	 3.00	 3.00
 111	 2017-07-28 02:11:17	 120	 22.5	 42	 15.2	 65	 755.8	 750.5	 0.3	 0.7	 SE	 8.7	 15.2	 1.80	 2.10	 2.10	 4.80	 4.80
 112	 2017-07-28 04:11:17	 120	 22.0	 42	 13.7	 68	 755.6	 750.3	 0.7	 1.0	 ESE	 7.9	 13.7	 2.10	 4.20	 4.20	 6.90	 6.90
 113	 2017-07-28 06:11:17	 120	 21.4	 43	 12.9	 69	 755.7	 750.4	 0.7	 1.0	 SE	 7.4	 12.9	 0.00	 4.20	 4.20	 6.90	 6.90
 114	 2017-07-28 08:11:17	 120	 20.8	 44	 12.3	 70	 755.9	 750.5	 0.7	 0.7	 E	 7.0	 12.3	 0.30	 4.50	 4.50	 7.20	 7.20
 115	 2017-07-28 10:11:17	 120	 20.6	 44	 15.0	 70	 755.9	 750.5	 2.0	 2.7	 SE	 9.6	 14.1	 0.00	 4.50	 4.50	 7.20	 7.20
 116	 2017-07-28 12:11:17	 120	 21.0	 44	 17.9	 35	 756.5	 751.2	 2.7	 3.7	 S	 2.2	 16.2	 0.00	 4.50	 4.50	 7.20	 7.20
 117	 2017-07-28 14:11:17	 120	 22.2	 44	 19.6	 28	 756.8	 751.4	 2.7	 3.7	 SE	 0.6	 18.1	 0.00	 4.50	 4.50	 7.20	 7.20
 118	 2017-07-28 16:12:17	 121	 23.5	 45	 19.6	 24	 757.2	 751.9	 2.4	 4.4	 SW	 -1.5	 18.4	 0.00	 4.50	 4.50	 7.20	 7.20
 119	 2017-07-28 18:12:17	 120	 24.9	 44	 19.2	 27	 757.4	 752.0	 2.7	 3.7	 W	 -0.2	 17.6	 0.00	 4.50	 4.50	 7.20	 7.20
 120	 2017-07-28 20:12:17	 120	 27.5	 41	 19.1	 26	 757.3	 752.0	 2.7	 5.1	 SE	 -0.8	 17.5	 0.00	 4.50	 4.50	 7.20	 7.20
 121	 2017-07-28 22:12:17	 120	 30.8	 38	 19.3	 28	 757.5	 752.2	 1.4	 1.7	 S	 0.4	 19.3	 0.00	 4.50	 4.50	 7.20	 7.20
 122	 2017-07-29 00:12:17	 120	 30.4	 38	 17.4	 33	 757.7	 752.4	 1.0	 2.4	 SE	 1.0	 17.4	 0.00	 0.00	 4.50	 7.20	 7.20
 123	 2017-07-29 02:12:17	 120	 27.5	 39	 13.2	 52	 758.0	 752.7	 0.7	 1.4	 SE	 3.6	 13.2	 0.00	 0.00	 4.50	 7.20	 7.20
 124	 2017-07-29 04:12:17	 120	 25.6	 42	 12.2	 64	 758.2	 752.9	 1.0	 1.4	 E	 5.6	 12.2	 0.00	 0.00	 4.50	 7.20	 7.20
 125	 2017-07-29 06:12:17	 120	 24.1	 43	 12.1	 68	 758.4	 753.1	 0.7	 1.4	 E	 6.4	 12.1	 0.00	 0.00	 4.50	 7.20	 7.20
 126	 2017-07-29 08:12:17	 120	 23.0	 44	 14.0	 69	 758.3	 752.9	 2.0	 2.4	 S	 8.4	 13.1	 0.00	 0.00	 4.50	 7.20	 7.20
 127	 2017-07-29 10:12:17	 120	 22.2	 43	 13.9	 64	 758.3	 753.0	 1.7	 2.0	 SE	 7.2	 13.9	 0.00	 0.00	 4.50	 7.20	 7.20
 128	 2017-07-29 12:12:17	 120	 22.2	 43	 16.5	 39	 758.6	 753.3	 1.4	 3.1	 SE	 2.5	 16.5	 0.30	 0.30	 4.80	 7.50	 7.50
 129	 2017-07-29 14:12:17	 120	 23.0	 44	 18.3	 31	 758.6	 753.2	 4.4	 5.8	 S	 0.9	 15.0	 0.00	 0.30	 4.80	 7.50	 7.50
 130	 2017-07-29 16:12:17	 120	 23.6	 44	 17.3	 33	 758.0	 752.7	 1.4	 2.4	 S	 0.9	 17.3	 0.00	 0.30	 4.80	 7.50	 7.50
 131	 2017-07-29 18:12:17	 120	 24.0	 43	 17.6	 34	 757.3	 752.0	 1.7	 2.7	 E	 1.6	 17.6	 0.30	 0.60	 5.10	 7.80	 7.80
 132	 2017-07-29 20:12:17	 120	 23.4	 44	 15.2	 63	 756.8	 751.4	 0.7	 1.4	 E	 8.2	 15.2	 2.10	 2.70	 7.20	 9.90	 9.90
 133	 2017-07-29 22:12:17	 120	 22.8	 43	 15.7	 68	 756.7	 751.4	 0.7	 1.7	 SSE	 9.8	 15.7	 1.80	 4.50	 9.00	 11.70	 11.70
 134	 2017-07-30 00:12:17	 120	 22.2	 43	 15.9	 60	 756.9	 751.6	 1.7	 2.4	 S	 8.2	 15.9	 0.00	 0.00	 0.00	 11.70	 11.70
 135	 2017-07-30 02:12:17	 120	 21.8	 44	 15.4	 67	 757.1	 751.8	 0.7	 1.0	 SW	 9.3	 15.4	 0.60	 0.60	 0.60	 12.30	 12.30
 136	 2017-07-30 04:12:17	 120	 21.4	 45	 16.1	 69	 758.3	 753.0	 1.7	 2.4	 NW	 10.4	 16.1	 0.00	 0.60	 0.60	 12.30	 12.30
 137	 2017-07-30 06:12:17	 120	 21.0	 45	 15.1	 66	 759.0	 753.7	 0.7	 1.4	 S	 8.8	 15.1	 0.00	 0.60	 0.60	 12.30	 12.30
 138	 2017-07-30 08:12:17	 120	 20.6	 45	 14.6	 62	 759.0	 753.7	 0.3	 0.7	 E	 7.4	 14.6	 0.00	 0.60	 0.60	 12.30	 12.30
 139	 2017-07-30 10:12:17	 120	 20.4	 45	 15.7	 42	 759.3	 754.0	 1.0	 1.7	 WSW	 2.8	 15.7	 0.00	 0.60	 0.60	 12.30	 12.30
 140	 2017-07-30 12:12:17	 120	 20.7	 46	 17.0	 34	 759.7	 754.4	 1.7	 2.7	 SE	 1.0	 17.0	 0.00	 0.60	 0.60	 12.30	 12.30
 141	 2017-07-30 14:12:17	 120	 21.3	 45	 17.2	 35	 759.6	 754.3	 2.4	 3.4	 S	 1.6	 15.8	 0.00	 0.60	 0.60	 12.30	 12.30
 142	 2017-07-30 16:12:17	 120	 22.4	 44	 19.2	 27	 758.7	 753.4	 1.0	 1.7	 SW	 -0.2	 19.2	 0.00	 0.60	 0.60	 12.30	 12.30
